sample,wwtp,experiment,variable,count
MEM1,Vienna,WWDv_002,total_reads,4494764
MEM2,Vienna,WWDv_002,total_reads,4542040
MEM3,Vienna,WWDv_002,total_reads,4694737
NT1,Vienna,WWDv_002,total_reads,2957070
NT2,Vienna,WWDv_002,total_reads,2994249
NT3,Vienna,WWDv_002,total_reads,2832498
PEG1,Alland,WWDv_003,total_reads,3213278
PEG1,Vienna,WWDv_002,total_reads,5560078
PEG1,Klosterneuburg,WWDv_003,total_reads,2508093
PEG1,Vienna,WWDv_003,total_reads,3394319
PEG2,Alland,WWDv_003,total_reads,4006943
PEG2,Vienna,WWDv_002,total_reads,4440919
PEG2,Klosterneuburg,WWDv_003,total_reads,3571275
PEG2,Vienna,WWDv_003,total_reads,8078417
PEG3,Alland,WWDv_003,total_reads,4070454
PEG3,Vienna,WWDv_002,total_reads,4907510
PEG3,Klosterneuburg,WWDv_003,total_reads,3665424
PEG3,Vienna,WWDv_003,total_reads,4810888
UF1,Vienna,WWDv_002,total_reads,2935455
UF2,Vienna,WWDv_002,total_reads,3737717
UF3,Vienna,WWDv_002,total_reads,3594822
UNC1,Vienna,WWDv_002,total_reads,2004012
UNC2,Vienna,WWDv_002,total_reads,2324658
UNC3,Vienna,WWDv_002,total_reads,2810262
VML1,Alland,WWDv_003,total_reads,2770314
VML1,Vienna,WWDv_002,total_reads,3188063
VML1,Klosterneuburg,WWDv_003,total_reads,3348200
VML1,Vienna,WWDv_003,total_reads,3818400
VML2,Alland,WWDv_003,total_reads,1847778
VML2,Vienna,WWDv_002,total_reads,3992635
VML2,Klosterneuburg,WWDv_003,total_reads,4472485
VML2,Vienna,WWDv_003,total_reads,4163830
VML3,Alland,WWDv_003,total_reads,1288414
VML3,Vienna,WWDv_002,total_reads,4289632
VML3,Klosterneuburg,WWDv_003,total_reads,3833043
VML3,Vienna,WWDv_003,total_reads,2620084
MEM1,Vienna,WWDv_002,sampled_reads,2832498
MEM2,Vienna,WWDv_002,sampled_reads,2832498
MEM3,Vienna,WWDv_002,sampled_reads,2832498
NT1,Vienna,WWDv_002,sampled_reads,2832498
NT2,Vienna,WWDv_002,sampled_reads,2832498
NT3,Vienna,WWDv_002,sampled_reads,2832498
PEG1,Alland,WWDv_003,sampled_reads,1288414
PEG1,Vienna,WWDv_002,sampled_reads,2832498
PEG1,Klosterneuburg,WWDv_003,sampled_reads,1288414
PEG1,Vienna,WWDv_003,sampled_reads,1288414
PEG2,Alland,WWDv_003,sampled_reads,1288414
PEG2,Vienna,WWDv_002,sampled_reads,2832498
PEG2,Klosterneuburg,WWDv_003,sampled_reads,1288414
PEG2,Vienna,WWDv_003,sampled_reads,1288414
PEG3,Alland,WWDv_003,sampled_reads,1288414
PEG3,Vienna,WWDv_002,sampled_reads,2832498
PEG3,Klosterneuburg,WWDv_003,sampled_reads,1288414
PEG3,Vienna,WWDv_003,sampled_reads,1288414
UF1,Vienna,WWDv_002,sampled_reads,2832498
UF2,Vienna,WWDv_002,sampled_reads,2832498
UF3,Vienna,WWDv_002,sampled_reads,2832498
UNC1,Vienna,WWDv_002,sampled_reads,2004012
UNC2,Vienna,WWDv_002,sampled_reads,2324658
UNC3,Vienna,WWDv_002,sampled_reads,2810262
VML1,Alland,WWDv_003,sampled_reads,1288414
VML1,Vienna,WWDv_002,sampled_reads,2832498
VML1,Klosterneuburg,WWDv_003,sampled_reads,1288414
VML1,Vienna,WWDv_003,sampled_reads,1288414
VML2,Alland,WWDv_003,sampled_reads,1288414
VML2,Vienna,WWDv_002,sampled_reads,2832498
VML2,Klosterneuburg,WWDv_003,sampled_reads,1288414
VML2,Vienna,WWDv_003,sampled_reads,1288414
VML3,Alland,WWDv_003,sampled_reads,1288414
VML3,Vienna,WWDv_002,sampled_reads,2832498
VML3,Klosterneuburg,WWDv_003,sampled_reads,1288414
VML3,Vienna,WWDv_003,sampled_reads,1288414
MEM1,Vienna,WWDv_002,virusmapped_reads,457609
MEM2,Vienna,WWDv_002,virusmapped_reads,469561
MEM3,Vienna,WWDv_002,virusmapped_reads,524102
NT1,Vienna,WWDv_002,virusmapped_reads,452548
NT2,Vienna,WWDv_002,virusmapped_reads,401810
NT3,Vienna,WWDv_002,virusmapped_reads,502521
PEG1,Alland,WWDv_003,virusmapped_reads,354541
PEG1,Vienna,WWDv_002,virusmapped_reads,928648
PEG1,Klosterneuburg,WWDv_003,virusmapped_reads,133244
PEG1,Vienna,WWDv_003,virusmapped_reads,258750
PEG2,Alland,WWDv_003,virusmapped_reads,333605
PEG2,Vienna,WWDv_002,virusmapped_reads,753044
PEG2,Klosterneuburg,WWDv_003,virusmapped_reads,146330
PEG2,Vienna,WWDv_003,virusmapped_reads,253250
PEG3,Alland,WWDv_003,virusmapped_reads,331059
PEG3,Vienna,WWDv_002,virusmapped_reads,822907
PEG3,Klosterneuburg,WWDv_003,virusmapped_reads,134698
PEG3,Vienna,WWDv_003,virusmapped_reads,255954
UF1,Vienna,WWDv_002,virusmapped_reads,368648
UF2,Vienna,WWDv_002,virusmapped_reads,371816
UF3,Vienna,WWDv_002,virusmapped_reads,486346
UNC1,Vienna,WWDv_002,virusmapped_reads,91450
UNC2,Vienna,WWDv_002,virusmapped_reads,99622
UNC3,Vienna,WWDv_002,virusmapped_reads,146431
VML1,Alland,WWDv_003,virusmapped_reads,344147
VML1,Vienna,WWDv_002,virusmapped_reads,725059
VML1,Klosterneuburg,WWDv_003,virusmapped_reads,131278
VML1,Vienna,WWDv_003,virusmapped_reads,331518
VML2,Alland,WWDv_003,virusmapped_reads,325749
VML2,Vienna,WWDv_002,virusmapped_reads,722451
VML2,Klosterneuburg,WWDv_003,virusmapped_reads,139201
VML2,Vienna,WWDv_003,virusmapped_reads,329093
VML3,Alland,WWDv_003,virusmapped_reads,335556
VML3,Vienna,WWDv_002,virusmapped_reads,731683
VML3,Klosterneuburg,WWDv_003,virusmapped_reads,131969
VML3,Vienna,WWDv_003,virusmapped_reads,315083
